category,pattern,description,confidence
phone,\b\+?7[-\s]?\(?9\d{2}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский мобильный номер,0.95
phone,\b\+?7[-\s]?\(?\d{3}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский телефонный номер,0.9
phone,\b8[-\s]?\(?9\d{2}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский мобильный номер 8,0.9
phone,\b8[-\s]?\(?\d{3}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский городской номер,0.85
email,\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2}\b,Email адрес,0.98
passport,\b\d{4}[-\s]?\d{6}\b,Серия и номер паспорта РФ,0.85
passport,\b\d{2}[-\s]?\d{2}[-\s]?\d{6}\b,Паспорт РФ с разделителями,0.8
inn,\b\d{10}\b,ИНН физического лица,0.7
inn,\b\d{12}\b,ИНН юридического лица,0.7
snils,\b\d{3}[-\s]?\d{3}[-\s]?\d{3}[-\s]?\d{2}\b,СНИЛС,0.9
bank_account,\b\d{20}\b,Банковский счет,0.8
bank_account,\b\d{5}[-\s]?\d{3}[-\s]?\d{1}[-\s]?\d{4}[-\s]?\d{7}\b,Банковский счет с разделителями,0.85
card_number,\b\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4}\b,Номер банковской карты,0.9
card_number,\b\d{4}[-\s]?\d{6}[-\s]?\d{5}\b,Номер карты American Express,0.88
ogrn,\b\d{13}\b,ОГРН организации,0.75
ogrn,\b\d{1}[-\s]?\d{2}[-\s]?\d{2}[-\s]?\d{2}[-\s]?\d{6}\b,ОГРН с разделителями,0.8
ogrnip,\b\d{15}\b,ОГРНИП индивидуального предпринимателя,0.75
kpp,\b\d{9}\b,КПП организации,0.7
kpp,\b\d{4}[-\s]?\d{2}[-\s]?\d{3}\b,КПП с разделителями,0.75
bik,\b04\d{7}\b,БИК банка России,0.85
date,\b\d{2}\.\d{2}\.\d{4}\b,Дата в формате ДД.ММ.ГГГГ,0.6
date,\b\d{2}/\d{2}/\d{4}\b,Дата в формате ДД/ММ/ГГГГ,0.6
date,\b\d{1,2}[-\s]\w+[-\s]\d{4}\b,Дата с названием месяца,0.65
driver_license,\b\d{2}\s\d{2}\s\d{6}\b,Водительское удостоверение РФ,0.8
driver_license,\b\d{4}\s\d{6}\b,Водительское удостоверение РФ,0.75
foreign_passport,\b\d{2}\s\d{7}\b,Заграничный паспорт РФ,0.75
military_id,\b[А-Я]{2}\s\d{7}\b,Военный билет,0.7
insurance_policy,\b\d{16}\b,Полис медицинского страхования,0.65
car_number,\b[А-Я]\d{3}[А-Я]{2}\d{2}\b,Автомобильный номер РФ,0.8
medical,\b(?:группа крови)\s*[ABОАВ][IV]{1,3}\b,Группа крови,0.8
