category,pattern,description,confidence
phone,\b\+?7[-\s]?\(?9\d{2}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский мобильный номер (+7-9XX-XXX-XX-XX),0.95
phone,\b\+?7[-\s]?\(?\d{3}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский телефонный номер (+7-XXX-XXX-XX-XX),0.9
phone,\b8[-\s]?\(?9\d{2}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский мобильный номер (8-9XX-XXX-XX-XX),0.9
phone,\b8[-\s]?\(?\d{3}\)?[-\s]?\d{3}[-\s]?\d{2}[-\s]?\d{2}\b,Российский городской номер (8-XXX-XXX-XX-XX),0.85
email,\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2}\b,Email адрес,0.98
passport,\b\d{4}[-\s]?\d{6}\b,Серия и номер паспорта РФ (XXXX XXXXXX),0.85
passport,\b\d{2}[-\s]?\d{2}[-\s]?\d{6}\b,Паспорт РФ с разделителями (XX XX XXXXXX),0.8
inn,\b\d{10}\b,ИНН физического лица (10 цифр),0.7
inn,\b\d{12}\b,ИНН юридического лица (12 цифр),0.7
snils,\b\d{3}[-\s]?\d{3}[-\s]?\d{3}[-\s]?\d{2}\b,СНИЛС (XXX-XXX-XXX XX),0.9
name,\b[А-ЯЁ][а-яё]+\s+[А-ЯЁ][а-яё]+(?:\s+[А-ЯЁ][а-яё]+)?\b,ФИО на русском языке,0.6
name,\b[A-Z][a-z]+\s+[A-Z][a-z]+(?:\s+[A-Z][a-z]+)?\b,ФИО на английском языке,0.55
bank_account,\b\d{20}\b,Банковский счет (20 цифр),0.8
bank_account,\b\d{5}[-\s]?\d{3}[-\s]?\d{1}[-\s]?\d{4}[-\s]?\d{7}\b,Банковский счет с разделителями,0.85
card_number,\b\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4}\b,Номер банковской карты (16 цифр),0.9
card_number,\b\d{4}[-\s]?\d{6}[-\s]?\d{5}\b,Номер банковской карты American Express (15 цифр),0.88
ogrn,\b\d{13}\b,ОГРН организации (13 цифр),0.75
ogrn,\b\d{1}[-\s]?\d{2}[-\s]?\d{2}[-\s]?\d{2}[-\s]?\d{6}\b,ОГРН с разделителями,0.8
ogrnip,\b\d{15}\b,ОГРНИП индивидуального предпринимателя (15 цифр),0.75
kpp,\b\d{9}\b,КПП организации (9 цифр),0.7
kpp,\b\d{4}[-\s]?\d{2}[-\s]?\d{3}\b,КПП с разделителями (XXXX-XX-XXX),0.75
bik,\b04\d{7}\b,БИК банка России (начинается с 04),0.85
date_birth,\b\d{2}\.\d{2}\.\d{4}\b,Дата рождения (ДД.ММ.ГГГГ),0.6
date_birth,\b\d{2}/\d{2}/\d{4}\b,Дата рождения (ДД/ММ/ГГГГ),0.6
date_birth,\b\d{1,2}[-\s]\w+[-\s]\d{4}\b,Дата рождения (ДД месяц ГГГГ),0.65
date_birth,\b(?:0?[1-9]|[12]\d|3[01])\.(?:0?[1-9]|1[0-2])\.(?:19|20)\d{2}\b,Валидная дата рождения (ДД.ММ.ГГГГ),0.75
driver_license,\b\d{2}\s\d{2}\s\d{6}\b,Водительское удостоверение РФ (XX XX XXXXXX),0.8
driver_license,\b\d{4}\s\d{6}\b,Водительское удостоверение РФ (XXXX XXXXXX),0.75
address,\b(?:г\.?\s*)?[А-ЯЁ][а-яё]+(?:\s*-\s*[А-ЯЁ][а-яё]+)?\b,Город в адресе,0.5
address,\b(?:ул\.?\s*|улица\s+)[А-ЯЁ][а-яё\s\-]+,Улица в адресе,0.6
address,\b(?:пр\.?\s*|проспект\s+)[А-ЯЁ][а-яё\s\-]+,Проспект в адресе,0.6
address,\bд\.?\s*\d+(?:[а-я])?(?:\s*корп\.?\s*\d+)?(?:\s*кв\.?\s*\d+)?\b,Номер дома/квартиры,0.4
address,\b\d{6}\b,Почтовый индекс,0.5
foreign_passport,\b\d{2}\s\d{7}\b,Заграничный паспорт РФ,0.75
military_id,\b[А-Я]{2}\s\d{7}\b,Военный билет,0.7
insurance_policy,\b\d{16}\b,Полис медицинского страхования (16 цифр),0.65
car_number,\b[А-Я]\d{3}[А-Я]{2}\d{2,3}\b,Автомобильный номер РФ,0.8
coordinates,\b\d{1,3}\.\d+°?\s*[NS],?\s*\d{1,3}\.\d+°?\s*[EW]\b,GPS координаты,0.7
medical,\b(?:группа крови|гр\.?\s*кр\.?)\s*[ABОАВ]{1,2}[IVХ]{1,3}[+-]?\b,Группа крови,0.8
